date,open,high,low,close,volume,Name,vo_spike,VO_upperline,VO_lowerline,MS_YS1,MS_RK3,MS_RK4,MS_RK5,MS_RK6,MS_UP,MS_DOWN,MS_Oo,MS_CC,MS_COLOR
2013-03-06,28.38,28.745,28.325,28.55,14925144,SBUX,0.17,,,28.5425,27.36331504,0.522982433,450.9462986,152.7574471,-192.2899116,-302.9378094,-302.9378094,-192.2899116,GREEN
2013-03-07,28.55,29.25,28.545,29.125,18237018,SBUX,0.575,,,29.01125,27.65137669,0.661306118,411.2689332,266.7331773,-103.9073989,-297.3502727,-297.3502727,-103.9073989,GREEN
2013-03-08,29.335,29.485,29.0725,29.335,14215718,SBUX,0,,,29.306875,27.94841779,0.627235004,433.1573324,328.1375511,-18.35245025,-262.3301524,-262.3301524,-18.35245025,GREEN
2013-03-11,29.2,29.465,29.165,29.305,9897766,SBUX,0.105,,,29.31,28.3026952,0.480627357,419.162492,355.8480118,76.67609228,-209.5225679,-209.5225679,76.67609228,GREEN
2013-03-12,29.225,29.275,28.99,29.14,11670100,SBUX,-0.085,,,29.13625,28.6374218,0.316004228,315.7098283,381.6177853,160.4965786,-145.7991953,-145.7991953,160.4965786,GREEN
2013-03-13,29.165,29.4,29.14,29.2925,7435340,SBUX,0.1275,,,29.28125,28.86161453,0.131717619,637.174389,394.1326876,225.613723,-71.64076613,-71.64076613,225.613723,GREEN
2013-03-14,29.26,29.375,28.705,28.84,14723066,SBUX,-0.42,,,28.94,28.95315969,0.159418131,-16.50965013,367.9917345,277.6150771,5.738348765,5.738348765,277.6150771,GREEN
2013-03-15,28.68,28.93,28.63,28.83,15102742,SBUX,0.15,,,28.805,29.06252313,0.218368596,-235.8609524,457.719286,316.4542806,79.03014017,79.03014017,316.4542806,GREEN
2013-03-18,28.53,28.71,28.375,28.465,10521204,SBUX,-0.065,,,28.50375,29.02168208,0.301362272,-343.7272229,299.642974,333.6334319,145.2251191,145.2251191,333.6334319,GREEN
2013-03-19,28.255,28.49,27.98,28.415,13337034,SBUX,0.16,,,28.325,28.94945472,0.374302894,-333.662781,121.1416652,374.9953833,202.3015063,202.3015063,374.9953833,GREEN
2013-03-20,28.61,28.805,28.5,28.715,9620874,SBUX,0.105,,,28.68375,28.80088648,0.243036456,-96.39416545,-33.81463085,349.8779135,246.0788148,246.0788148,349.8779135,GREEN
2013-03-21,28.65,28.71,28.375,28.525,8307328,SBUX,-0.125,,,28.53375,28.64225765,0.182956194,-118.6159947,-133.7640142,273.6324974,289.0510043,273.6324974,289.0510043,red
2013-03-22,28.65,28.875,28.58,28.69,8720670,SBUX,0.04,,,28.70875,28.65608844,0.155011088,67.94554419,-121.307398,171.1501213,309.3266407,171.1501213,309.3266407,red
2013-03-25,28.765,28.915,28.075,28.345,10580234,SBUX,-0.42,,,28.42,28.61530896,0.165559185,-235.9385346,-120.4102635,69.51207612,297.4285929,69.51207612,297.4285929,red
2013-03-26,28.495,28.58,28.355,28.525,6128410,SBUX,0.03,,,28.49625,28.64645597,0.123927902,-242.4086404,-57.6249943,5.905584756,255.3357691,5.905584756,255.3357691,red
2013-03-27,28.43,28.475,28.105,28.455,7456828,SBUX,0.025,,,28.3725,28.57097065,0.129605772,-306.2682225,-117.062841,-36.19969801,193.3945381,-36.19969801,193.3945381,red
2013-03-28,28.465,28.63,28.43,28.475,7620390,SBUX,0.01,,,28.5025,28.54606377,0.128698412,-67.69899412,-158.8447742,-43.34146344,130.8982203,-43.34146344,130.8982203,red
2013-04-01,28.565,28.67,28.325,28.435,7009632,SBUX,-0.13,,,28.46625,28.48820918,0.054896209,-80.00252562,-207.9859236,-67.91525597,75.1989142,-67.91525597,75.1989142,red
2013-04-02,28.595,29.165,28.575,29.13,13495550,SBUX,0.535,,,29,28.49297278,0.247302636,410.0459451,-161.2236138,-98.22509537,35.68545499,-98.22509537,35.68545499,red
2013-04-03,29.2,29.45,28.69,28.85,11272606,SBUX,-0.35,,,28.96,28.48406519,0.296057955,321.5146243,-134.1499177,-134.8120381,1.151884667,-134.8120381,1.151884667,red
2013-04-04,28.805,29.155,28.805,29.055,7568480,SBUX,0.25,,,29.0175,28.65604346,0.279384927,258.7516399,47.24870322,-143.6158967,-31.97377535,-143.6158967,-31.97377535,red
2013-04-05,28.605,28.9382,28.3592,28.9,8993596,SBUX,0.295,,,28.77435,28.75736231,0.232077419,14.63967806,138.6706769,-140.4605704,-66.25319627,-140.4605704,-66.25319627,red
2013-04-08,28.915,29.06,28.73,29.06,7343972,SBUX,0.145,,,28.9775,28.84407487,0.098336334,271.3648641,178.6976646,-77.8908125,-92.04076307,-92.04076307,-77.8908125,GREEN
2013-04-09,28.98,29,28.59,28.705,8361158,SBUX,-0.275,,,28.75,28.82083325,0.124111984,-114.1440902,124.0116691,-5.703649357,-108.1806988,-108.1806988,-5.703649357,GREEN
2013-04-10,28.82,29.155,28.8045,28.9,8577388,SBUX,0.08,,,28.939875,28.8730555,0.121817402,109.7043616,173.1294007,55.76345529,-98.08407006,-98.08407006,55.76345529,GREEN
2013-04-11,28.975,29.495,28.9,29.2875,10416656,SBUX,0.3125,,,29.2425,28.832037,0.197738886,415.1565832,77.37157042,78.51285988,-67.29059649,-67.29059649,78.51285988,GREEN
2013-04-12,29.355,29.855,29.3,29.545,10418310,SBUX,0.19,,,29.56125,28.867983,0.314657482,440.6486669,88.14916749,110.0517068,-26.27257923,-26.27257923,110.0517068,GREEN
2013-04-15,29.33,29.72,28.8,28.855,10700276,SBUX,-0.475,,,29.0575,28.992822,0.309225373,41.83227263,197.1516394,99.15832803,8.655900472,8.655900472,99.15832803,GREEN
2013-04-16,28.97,29.47,28.86,29.28,8849328,SBUX,0.31,,,29.2225,29.182298,0.234879597,34.23200729,278.3173152,95.48860785,42.45450259,42.45450259,95.48860785,GREEN
2013-04-17,29.015,29.275,28.825,29.085,7207368,SBUX,0.07,,,29.0675,29.14069867,0.203777605,-71.84171809,199.4889677,129.376285,61.35577774,61.35577774,129.376285,GREEN
2013-04-18,29.18,29.24,28.75,28.86,8776706,SBUX,-0.32,,,28.9275,29.16796578,0.243805122,-197.2606446,144.4033142,179.0232951,72.73338778,72.73338778,179.0232951,GREEN
2013-04-19,28.79,29.29,28.77,29.2025,8605504,SBUX,0.4125,,,29.11625,29.13447719,0.106681477,-34.17122751,72.32163679,185.845186,91.61435353,91.61435353,185.845186,GREEN
2013-04-22,29.21,29.435,28.99,29.32,5547302,SBUX,0.11,,,29.26625,29.06548479,0.1339047,299.8628272,-17.53912369,172.0312287,120.7506674,120.7506674,172.0312287,GREEN
2013-04-23,29.42,29.95,29.3899,29.695,11323422,SBUX,0.275,,,29.682475,29.08240653,0.289516127,414.5319849,-23.0831583,138.7946981,142.4488402,138.7946981,142.4488402,red
2013-04-24,29.845,29.985,29.565,29.915,10410890,SBUX,0.07,,,29.845,29.14368768,0.385419779,363.9212894,84.56550353,86.68342415,152.3096364,86.68342415,152.3096364,red
2013-04-25,30,30.32,29.955,30.25,16550532,SBUX,0.25,,,30.19375,29.32328346,0.43663988,398.7114253,194.5543306,50.09456334,147.804657,50.09456334,147.804657,red
2013-04-26,29.65,30.195,29.6,30,14970972,SBUX,0.35,,,29.94875,29.49718897,0.345354297,261.5059563,251.0099836,61.58487673,127.4309127,61.58487673,127.4309127,red
2013-04-29,30.175,30.46,30.065,30.29,7400546,SBUX,0.115,,,30.27625,29.72937598,0.245330625,445.8261324,300.2437975,105.908028,101.6521296,101.6521296,105.908028,GREEN
2013-04-30,30.315,30.455,30.155,30.42,8041092,SBUX,0.105,,,30.3625,29.80250065,0.2199279,509.257212,287.3311838,154.2753465,88.29637862,88.29637862,154.2753465,GREEN
2013-05-01,30.275,30.34,29.975,30.07,6294596,SBUX,-0.205,,,30.11375,29.9604171,0.158603279,193.3540073,340.1628333,202.9314969,94.16692843,94.16692843,202.9314969,GREEN
2013-05-02,30.22,30.34,29.8,30.19,6237460,SBUX,-0.03,,,30.13,30.09444473,0.159679855,44.53318786,396.5276262,231.0647258,114.2030678,114.2030678,231.0647258,GREEN
2013-05-03,30.425,30.985,30.35,30.935,9835550,SBUX,0.51,,,30.80125,30.10087982,0.27953449,501.0975039,328.8030866,267.4307617,143.7792108,143.7792108,267.4307617,GREEN
2013-05-06,31,31.24,30.96,31.24,6997134,SBUX,0.24,,,31.17,30.11058655,0.459196479,461.4205464,234.0464537,310.4630498,172.8743825,172.8743825,310.4630498,GREEN
2013-05-07,31.265,31.265,30.855,31.095,7495628,SBUX,-0.17,,,31.0775,30.3408077,0.508339361,289.8427141,323.0634704,316.5763954,204.3931755,204.3931755,316.5763954,GREEN
2013-05-08,31.17,31.22,30.865,31.205,5507696,SBUX,0.035,,,31.12375,30.61720513,0.432816539,234.0690901,369.1824958,289.0664148,239.7498003,239.7498003,289.0664148,GREEN
2013-05-09,31.33,31.45,31.02,31.18,8276152,SBUX,-0.15,,,31.2075,30.77063676,0.16116616,542.1277565,342.7359019,300.3987667,265.3586653,265.3586653,300.3987667,GREEN
2013-05-10,31.285,31.595,31.195,31.5485,7480820,SBUX,0.2635,,,31.47175,30.88834117,0.154203255,756.6751183,306.5136313,323.3266764,273.2612485,273.2612485,323.3266764,GREEN
2013-05-13,31.6,31.615,31.305,31.41,5906892,SBUX,-0.19,,,31.435,30.99472745,0.180306389,488.3604589,385.051673,329.7964182,282.3070879,282.3070879,329.7964182,GREEN
2013-05-14,31.46,31.785,31.39,31.76,7510580,SBUX,0.3,,,31.67375,31.15373496,0.219729848,473.322163,508.9261548,322.0354892,295.9802841,295.9802841,322.0354892,GREEN
2013-05-15,31.6592,32.1,31.61,32.035,9654546,SBUX,0.3758,,,31.945,31.24748998,0.277459716,502.7829156,502.0709228,343.0408838,307.2523288,307.2523288,343.0408838,GREEN
2013-05-16,32,32.0325,31.725,31.775,6661036,SBUX,-0.225,,,31.826875,31.38957665,0.220667036,396.3422519,492.4880029,398.3359742,312.1800489,312.1800489,398.3359742,GREEN
2013-05-17,31.885,32.07,31.75,32.065,6934282,SBUX,0.18,,,31.9875,31.57471777,0.225049647,366.836596,495.9196404,432.9142904,322.4669939,322.4669939,432.9142904,GREEN
2013-05-20,32.015,32.305,31.89,31.915,7211790,SBUX,-0.1,,,32.00625,31.65877018,0.138538408,501.6368033,462.7271776,452.7721946,347.756654,347.756654,452.7721946,GREEN
2013-05-21,32.02,32.23,31.94,32.125,6588946,SBUX,0.105,,,32.105,31.76834679,0.10108165,666.1015407,430.7636504,467.1546765,376.1425328,376.1425328,467.1546765,GREEN
2013-05-22,32.075,32.465,31.98,32.075,11012050,SBUX,0,,,32.14875,31.84764786,0.124712482,482.8741095,454.3880347,465.6788435,401.6857534,401.6857534,465.6788435,GREEN
2013-05-23,31.845,31.91,31.515,31.76,8258348,SBUX,-0.085,,,31.73625,31.9334319,0.160357511,-245.9278692,524.9592034,454.0404458,423.5087278,423.5087278,454.0404458,GREEN
2013-05-24,31.54,31.7,31.305,31.68,6507242,SBUX,0.14,,,31.59125,32.0052046,0.242796211,-340.9893438,510.9308387,454.1563088,437.565433,437.565433,454.1563088,GREEN
2013-05-28,32.105,32.35,32.02,32.13,7438516,SBUX,0.025,,,32.1575,31.91555307,0.265022699,182.5858175,258.6446027,477.7572736,443.057104,443.057104,477.7572736,GREEN
2013-05-29,31.895,32.05,31.5575,31.815,7560250,SBUX,-0.08,,,31.809375,31.80745205,0.253914048,1.514649697,58.76662056,488.8151287,446.7568389,446.7568389,488.8151287,GREEN
2013-05-30,31.935,32.0221,31.7275,31.735,8798456,SBUX,-0.2,,,31.8049,31.9241347,0.208319268,-114.4730375,100.0396862,412.09162,457.0903171,412.09162,457.0903171,red
2013-05-31,31.605,32.1725,31.395,31.57,10205308,SBUX,-0.035,,,31.676875,31.88588146,0.215833313,-193.6739621,67.19800738,294.3166202,467.6652543,294.3166202,467.6652543,red
2013-06-03,31.63,31.77,31.31,31.73,11417578,SBUX,0.1,,,31.635,31.85888764,0.205489326,-217.9068354,6.640992404,229.5576422,449.1407096,229.5576422,449.1407096,red
2013-06-04,31.305,32.07,31.305,31.665,8622564,SBUX,0.36,,,31.67625,31.79821676,0.080922149,-301.4422226,-60.13065909,175.4377639,397.5326798,175.4377639,397.5326798,red
2013-06-05,31.52,31.65,31.155,31.17,8408538,SBUX,-0.35,,,31.28625,31.74381117,0.195009612,-469.2703805,-112.7227178,119.1721734,341.5410006,119.1721734,341.5410006,red
2013-06-06,31.175,31.5275,31.16,31.51,8625308,SBUX,0.335,,,31.426875,31.72129078,0.175719836,-335.0968098,-175.6292194,59.40456258,286.173255,59.40456258,286.173255,red
2013-06-07,31.705,32.545,31.705,32.52,13752898,SBUX,0.815,,,32.3225,31.57627719,0.397929701,375.0525832,-273.5096064,2.028802441,230.5062278,2.028802441,230.5062278,red
2013-06-10,32.83,33.155,32.74,33.055,12412340,SBUX,0.225,,,33.00125,31.52647646,0.712876874,413.7526674,-294.0386742,-57.19053818,173.4723394,-57.19053818,173.4723394,red
2013-06-11,32.735,33.0525,32.655,32.71,7897496,SBUX,-0.025,,,32.781875,31.79181764,0.778086972,254.4850116,-71.00825511,-129.2968943,116.3244938,-129.2968943,116.3244938,red
2013-06-12,32.91,33,32.13,32.225,10069920,SBUX,-0.685,,,32.395,32.19496176,0.604003796,66.23741162,90.57871906,-184.2108209,58.48614978,-184.2108209,58.48614978,red
2013-06-13,32.27,33.095,32.035,32.985,11909482,SBUX,0.715,,,32.775,32.39059951,0.286593135,268.2551999,145.2141499,-146.4766323,-4.108198237,-146.4766323,-4.108198237,red
2013-06-14,32.975,33.335,32.725,32.8,9854434,SBUX,-0.175,,,32.915,32.39206634,0.231962753,450.8772687,118.8885705,-67.45818186,-64.1424058,-67.45818186,-64.1424058,red
2013-06-17,33.095,33.28,32.8575,33.015,8115800,SBUX,-0.08,,,33.041875,32.51971089,0.242405507,430.818685,168.677447,3.432595399,-91.58714797,-91.58714797,3.432595399,GREEN
2013-06-18,33,33.565,32.975,33.5475,7451352,SBUX,0.5475,,,33.40875,32.65147393,0.370667051,408.6017738,262.7440542,41.91792043,-83.54415927,-83.54415927,41.91792043,GREEN
2013-06-19,33.51,33.74,33.205,33.205,10644698,SBUX,-0.305,,,33.33875,32.78160762,0.27178648,409.9853545,318.7689311,84.17109594,-54.55190771,-54.55190771,84.17109594,GREEN
2013-06-20,32.91,33.16,32.52,32.61,11606540,SBUX,-0.3,,,32.725,32.99065508,0.287036175,-185.1021595,348.713212,143.6954154,-22.39529833,-22.39529833,143.6954154,GREEN
2013-06-21,32.855,32.96,32.115,32.345,14709502,SBUX,-0.51,,,32.44125,33.10668672,0.409577335,-324.938253,369.1372595,202.053254,13.12683309,13.12683309,202.053254,GREEN
2013-06-24,32,32.289,31.59,32.005,9913028,SBUX,0.005,,,31.97225,32.97945781,0.607808677,-331.4226504,184.3907865,250.9399067,56.64969385,56.64969385,250.9399067,GREEN
2013-06-25,32.265,32.68,32.22,32.37,9856852,SBUX,0.105,,,32.41,32.80005521,0.503538895,-154.9255529,14.61444001,290.3390243,105.1175472,105.1175472,290.3390243,GREEN
2013-06-26,32.685,33.3546,32.4455,32.9,9545442,SBUX,0.215,,,32.900025,32.52412014,0.353619389,212.6042135,-100.7312568,255.022945,153.7250004,153.7250004,255.022945,GREEN
2013-06-27,33.135,33.25,32.825,32.845,6292594,SBUX,-0.29,,,32.94125,32.48608009,0.399800897,227.6982923,-118.7960222,174.8867767,199.2630083,174.8867767,199.2630083,red
2013-06-28,32.755,33.125,32.7,32.755,10836506,SBUX,0,,,32.83375,32.62406173,0.41551763,100.9287002,-8.329276944,83.01409886,217.8496539,83.01409886,217.8496539,red
2013-07-01,33.045,33.245,32.91,33.12,6692040,SBUX,0.075,0.294735054,-0.294735054,33.09875,32.72979115,0.25772686,286.3177298,70.34657949,15.74405851,203.5286948,15.74405851,203.5286948,red
2013-07-02,33.12,33.6,33.04,33.395,6765528,SBUX,0.275,0.294813957,-0.294813957,33.3575,32.7644441,0.209282592,566.7512938,80.54061973,7.719613361,163.3571628,7.719613361,163.3571628,red
2013-07-03,33.215,33.84,33.2,33.65,5635188,SBUX,0.435,0.29647991,-0.29647991,33.585,32.8758794,0.307254221,461.5855866,149.1329898,28.59526874,114.1527947,28.59526874,114.1527947,red
2013-07-05,33.935,34,33.45,33.86,5189244,SBUX,-0.075,0.296620226,-0.296620226,33.7925,33.0364196,0.380580765,397.3298015,288.3390911,45.91038574,78.67506761,45.91038574,78.67506761,red
2013-07-08,33.97,34.41,33.94,34.145,8029920,SBUX,0.175,0.294610327,-0.294610327,34.16,33.21927973,0.406488392,462.852217,346.0879229,80.31792041,61.98180132,61.98180132,80.31792041,GREEN
2013-07-09,34.45,34.5,33.995,34.065,7459914,SBUX,-0.385,0.297832558,-0.297832558,34.15625,33.41035316,0.352872587,422.7570359,363.1685491,149.6583106,56.62466279,56.62466279,149.6583106,GREEN
2013-07-10,33.935,34.06,33.725,34.05,8090792,SBUX,0.115,0.289728211,-0.289728211,33.97125,33.66023544,0.24681819,252.0191589,396.3964384,215.1348481,64.52241533,64.52241533,215.1348481,GREEN
2013-07-11,34.34,34.7575,34.175,34.67,8385798,SBUX,0.33,0.291041846,-0.291041846,34.568125,33.82557362,0.288378955,514.9830537,405.1833042,264.4794151,92.9010471,92.9010471,264.4794151,GREEN
2013-07-12,34.62,34.86,34.39,34.86,9706492,SBUX,0.24,0.282708012,-0.282708012,34.7425,33.87413242,0.321757746,539.7648356,354.1285891,308.4517562,133.6456474,133.6456474,308.4517562,GREEN
2013-07-15,34.845,34.95,34.765,34.83,6180564,SBUX,-0.015,0.282727186,-0.282727186,34.84375,34.10546328,0.377437495,391.2100586,407.746744,340.6956056,177.2569033,177.2569033,340.6956056,GREEN
2013-07-16,34.82,34.86,34.54,34.76,6068146,SBUX,-0.06,0.282473188,-0.282473188,34.73,34.31780885,0.349569043,235.8281757,451.7527745,345.1732667,220.9885209,220.9885209,345.1732667,GREEN
2013-07-17,34.87,34.9076,33.945,34.1,12147310,SBUX,-0.77,0.287136661,-0.287136661,34.26315,34.49312257,0.22734969,-202.3073515,431.5718692,366.0310925,260.8908825,260.8908825,366.0310925,GREEN
2013-07-18,34.225,34.505,34.02,34.24,8537754,SBUX,0.015,0.286845938,-0.286845938,34.25125,34.57208171,0.285472815,-224.7721638,366.3239714,394.6049865,288.9850106,288.9850106,394.6049865,GREEN
2013-07-19,34.285,34.555,34.2,34.395,7196954,SBUX,0.11,0.280385651,-0.280385651,34.38625,34.46910447,0.274702811,-60.32298995,176.7801971,406.9272807,314.6670379,314.6670379,406.9272807,GREEN
2013-07-22,34.54,34.605,34.275,34.51,6559682,SBUX,-0.03,0.280480702,-0.280480702,34.475,34.39648632,0.195790809,80.20160307,42.92941014,393.3928443,341.3130208,341.3130208,393.3928443,GREEN
2013-07-23,34.62,34.66,33.725,33.83,8465332,SBUX,-0.79,0.292944498,-0.292944498,34.01125,34.39307421,0.1750834,-436.1626638,8.511943443,321.1886286,363.1844407,321.1886286,363.1844407,red
2013-07-24,34.06,34.215,33.15,33.305,14033776,SBUX,-0.755,0.30066558,-0.30066558,33.49375,34.42038281,0.39309509,-471.4547855,32.40849665,228.4355558,373.2539086,228.4355558,373.2539086,red
2013-07-25,33.47,34.15,33.365,34.085,15971984,SBUX,0.615,0.305516732,-0.305516732,33.92125,34.2840052,0.39398604,-184.1462223,-123.7818902,155.127685,355.8988152,155.127685,355.8988152,red
2013-07-26,36.3,36.76,35.925,36.68,32293248,SBUX,0.38,0.30717718,-0.30717718,36.51125,34.0205868,1.186442951,419.8538489,-239.6728553,114.2212889,313.4110621,114.2212889,313.4110621,red
2013-07-29,36.375,36.54,36.05,36.225,12801986,SBUX,-0.15,0.302872602,-0.302872602,36.26,33.98747454,1.427654764,318.3578442,-221.1639776,34.88689586,260.6499364,34.88689586,260.6499364,red
2013-07-30,36.45,36.49,35.855,35.965,9808846,SBUX,-0.485,0.307275429,-0.307275429,36.06875,34.82873302,1.425761967,173.9444598,-7.491368763,-56.63302118,211.8403872,-56.63302118,211.8403872,red
2013-07-31,36.07,36.25,35.61,35.6445,11248506,SBUX,-0.4255,0.310500527,-0.310500527,35.78725,35.30582202,1.034262636,93.09588639,101.1250356,-111.4766733,152.8558901,-111.4766733,152.8558901,red
2013-08-01,36.135,36.865,36.04,36.74,12849582,SBUX,0.605,0.315793637,-0.315793637,36.59625,35.56013134,0.329806496,628.3191312,125.398177,-76.81490514,83.026253,-76.81490514,83.026253,red
2013-08-02,36.75,37.135,36.58,37.115,9394576,SBUX,0.365,0.317454436,-0.317454436,36.98625,35.63583756,0.466050373,579.5135102,114.6307468,-17.50159157,18.19194423,-17.50159157,18.19194423,red
2013-08-05,37.11,37.135,36.855,36.985,7606188,SBUX,-0.125,0.314554224,-0.314554224,36.99,35.95597504,0.542855828,380.9574863,285.8602083,30.13166461,-13.47700556,-13.47700556,30.13166461,GREEN
2013-08-06,36.83,36.925,36.39,36.4,7956060,SBUX,-0.43,0.317746343,-0.317746343,36.52875,36.29940003,0.491033553,93.41519368,383.7446423,58.29802534,-14.81853423,-14.81853423,58.29802534,GREEN
2013-08-07,36.18,36.575,36.0825,36.095,7068922,SBUX,-0.085,0.317812162,-0.317812162,36.211875,36.52960002,0.330685368,-192.1615224,382.8155903,134.1520863,0.164865382,0.164865382,134.1520863,GREEN
2013-08-08,36.385,36.7,36.2,36.47,5923772,SBUX,0.085,0.31758213,-0.31758213,36.46,36.52931668,0.342910224,-40.42847027,286.3487914,217.349605,19.54258537,19.54258537,217.349605,GREEN
2013-08-09,36.295,36.6154,36.26,36.4,5366324,SBUX,0.105,0.31758213,-0.31758213,36.41885,36.42350279,0.287111018,-3.241105867,126.8453535,272.5049334,57.74575235,57.74575235,272.5049334,GREEN
2013-08-12,36.14,36.565,36.125,36.465,5473182,SBUX,0.325,0.318608458,-0.318608458,36.405,36.43566852,0.118139849,-51.91901686,71.08741223,277.1195527,110.9470366,110.9470366,277.1195527,GREEN
2013-08-13,36.545,36.545,35.9674,36.32,5377794,SBUX,-0.225,0.31964506,-0.31964506,36.2881,36.43006235,0.103134163,-275.2964599,46.31123953,227.028153,164.7996688,164.7996688,227.028153,GREEN
2013-08-14,36.29,36.29,35.895,35.925,4932052,SBUX,-0.365,0.318904538,-0.318904538,36.00875,36.42170823,0.183313936,-450.5475592,13.56782073,175.0479061,202.2396301,175.0479061,202.2396301,red
2013-08-15,35.655,35.675,35.155,35.37,7198878,SBUX,-0.285,0.320462623,-0.320462623,35.3925,36.37717216,0.42980225,-458.1977665,-82.72027282,132.1356839,210.5024711,132.1356839,210.5024711,red
2013-08-16,35.49,35.695,35.275,35.355,6929830,SBUX,-0.135,0.320870262,-0.320870262,35.42,36.25436477,0.475759456,-350.7506832,-205.3293683,92.61306283,198.6842827,92.61306283,198.6842827,red
2013-08-19,35.29,35.6475,35.09,35.145,6349108,SBUX,-0.145,0.321318371,-0.321318371,35.256875,35.96707651,0.449145032,-316.2459621,-289.6188343,34.16861762,176.5014165,34.16861762,176.5014165,red
2013-08-20,35.18,35.5125,35.0558,35.33,6046820,SBUX,0.15,0.321192934,-0.321192934,35.307075,35.78471768,0.304334038,-313.8936935,-309.9961173,-45.66404435,148.5386319,-45.66404435,148.5386319,red
2013-08-21,35.21,35.7,35.14,35.3565,6917088,SBUX,0.1465,0.317253851,-0.317253851,35.38825,35.60877012,0.068265869,-646.0625748,-312.0793989,-126.9823077,110.4152938,-126.9823077,110.4152938,red
2013-08-22,35.54,36.13,35.505,35.95,5399676,SBUX,0.41,0.317365486,-0.317365486,35.88375,35.50820508,0.250284771,300.0941055,-312.6841638,-187.9869109,58.38884776,-187.9869109,58.38884776,red
2013-08-23,36.0325,36.095,35.79,35.985,5869740,SBUX,-0.0475,0.316661826,-0.316661826,35.96375,35.46822005,0.336593966,294.4378085,-423.8103008,-229.3510736,-3.401537387,-229.3510736,-3.401537387,red
2013-08-26,36.035,36.105,35.8,35.94,4928868,SBUX,-0.095,0.315708996,-0.315708996,35.94625,35.60673003,0.32230476,210.6825632,-182.508832,-257.1287703,-64.92999522,-257.1287703,-64.92999522,red
2013-08-27,35.45,35.685,35.055,35.08,8021076,SBUX,-0.37,0.317902319,-0.317902319,35.225,35.72573669,0.348227817,-287.5914361,-23.52661851,-312.6892805,-119.7370213,-312.6892805,-119.7370213,red
2013-08-28,35.045,35.66,34.93,35.48,6249812,SBUX,0.435,0.319250658,-0.319250658,35.3875,35.79924113,0.348385787,-236.3707949,54.54310872,-269.2957976,-165.534271,-269.2957976,-165.534271,red
